"extent","zone","EPL","RLE","type","get","realm","RLE_EPL"
19508.7097186023,"Mesophotic and sub-photic rocky shelves","NP","LC","SoB9","M1.5","marine","LC_NP"
10.543340329831,"Sandy shores","PP","EN","SHsb4","M1.3","marine","EN_PP"
2380.68802149114,"Mesophotic and sub-photic rocky shelves","PP","VU","SoB10","M1.5","marine","VU_PP"
36057.0725766166,"Sandy shelves","PP","LC","SoB12","M1.7","marine","LC_PP"
7397.87066782645,"Sandy shelves","PP","VU","SoB13","M1.7","marine","VU_PP"
2181.79251150682,"Mesophotic and sub-photic rocky shelves","NP","LC","SoB5","M1.5","marine","LC_NP"
258.868157698594,"Photic rocky reefs","PP","EN","Ntl5","M1.6","marine","EN_PP"
989.630326080083,"Mesophotic and sub-photic rocky shelves","MP","EN","Ntl6","M1.5","marine","EN_MP"
669.562722421381,"Mesophotic and sub-photic rocky shelves","WP","NT","Ntl8","M1.5","marine","NT_WP"
197988.126366343,"Slopes","NP","LC","SwI10","M3.1","marine","LC_NP"
78270.7167705021,"Slopes","PP","LC","SwI11","M3.1","marine","LC_PP"
2072.41259062144,"Seamounts","WP","LC","SwI12","M3.4","marine","LC_WP"
1614.36086629061,"Seamounts","NP","LC","SwI13","M3.4","marine","LC_NP"
17527.1727092983,"Slopes","MP","LC","SwI14","M3.1","marine","LC_MP"
980.823124156415,"Bays","NP","EN","Cpe5",NA,"marine","EN_NP"
4.76019267807473,"Mesophotic and sub-photic rocky shelves","WP","LC","Dlg11","M1.5","marine","LC_WP"
119.956175910939,"Sandy shelves","WP","LC","NtB10","M1.7","marine","LC_WP"
646.798293525038,"Sandy shelves","MP","VU","NtB11","M1.7","marine","VU_MP"
14407.2212832057,"Pelagic ocean waters","WP","LC","Cb1","M2","marine","LC_WP"
59193.7305023398,"Pelagic ocean waters","NP","LC","Ca2","M2","marine","LC_NP"
71745.1448397762,"Pelagic ocean waters","NP","LC","Bb1","M2","marine","LC_NP"
58.705205304486,"Photic rocky reefs","PP","EN","Ntl17","M1.6","marine","EN_PP"
210710.39744288,"Abyssal plains","NP","LC","SwI9","M3.3","marine","LC_NP"
6831.86742960935,"Pelagic ocean waters","PP","VU","Cb3","M2","marine","VU_PP"
21217.0919114643,"Pelagic ocean waters","PP","LC","Cb2","M2","marine","LC_PP"
125467.44336544,"Pelagic ocean waters","PP","LC","Ba2","M2","marine","LC_PP"
169872.242678316,"Pelagic ocean waters","PP","LC","Ca1","M2","marine","LC_PP"
819.733594067297,"Bays","PP","EN","Ags2",NA,"marine","EN_PP"
2786.45386084413,"Mesophotic and sub-photic rocky shelves","NP","VU","Ags13","M1.5","marine","VU_NP"
253.034456812489,"Photic rocky reefs","MP","VU","Ntl10","M1.6","marine","VU_MP"
2385.88902667652,"Mesophotic and sub-photic rocky shelves","MP","LC","Ntl11","M1.5","marine","LC_MP"
1435.23586282032,"Mesophotic and sub-photic rocky shelves","MP","LC","Ntl12","M1.5","marine","LC_MP"
417.805734816642,"Canyons","NP","LC","SwI15","M3.2","marine","LC_NP"
789.363916237971,"Mesophotic and sub-photic rocky shelves","MP","VU","NtB12","M1.5","marine","VU_MP"
1348.69885270629,"Muddy shelves","MP","VU","NtB13","M1.8","marine","VU_MP"
531.750297505297,"Muddy shelves","MP","VU","NtB14","M1.8","marine","VU_MP"
